Bucear,To Scuba Dive
Ser,To Be
Significar,To Mean
Situar,To Place
Sobrevivir,To Survive
Soler,To Use
Sonar,To Sound
Sonre#237#r,To Smile
So#241#ar,To Dream
Soportar,To Endure
Sorprender,To Surprise
Subir,To Rise/To Climb
Suceder,To Happen
Sufrir,To Suffer
Sujetar,To Hold
Suponer,To Suppose
Surgir,To Arise
Suspender,To Suspend
Sustituir,To Substitute Or Replace
Tachar,To Cross Out
Tapar,To Cover
Tardar,To Delay
Temer,To Fear
Tender,To Tend
Tener,To Have
Terminar,To Finish
Tirar,To Throw
Tocar,To Touch Or To Tap
Tomar,To Take (Or Drink)
Torcer,To Twist
Toser,To Cough
Trabajar,To Work
Traducir,To Translate
Traer,To Bring
Tragar,To Swallow
Tratar,To Try
Tropezar,To Stumble
Tumbarse,To Lie Down
Unir,To Join/Unite
Usar,To Use
Utilizar,To Utilize
Vaciar,To Empty
Valer,To Value
Variar,To Vary
Vender,To Sell
Venir,To Come
Ver,To See
Veranear,To Spend (Like Summer Vacation)
Vestir,To Wear/To Dress
Viajar,To Travel
Visitar,To Visit
Vivir,To Live
Volar,To Fly
Volver,To Return
Votar,To Vote
